受付_年月日,全国地方公共団体コード,都道府県名,市区町村名,相談件数
2020-09-18T00:00:00,080004,茨城県,,301
2020-09-19T00:00:00,080004,茨城県,,117
2020-09-20T00:00:00,080004,茨城県,,123
2020-09-21T00:00:00,080004,茨城県,,136
2020-09-22T00:00:00,080004,茨城県,,143
2020-09-23T00:00:00,080004,茨城県,,357
2020-09-24T00:00:00,080004,茨城県,,315
2020-09-25T00:00:00,080004,茨城県,,324
2020-09-26T00:00:00,080004,茨城県,,130
2020-09-27T00:00:00,080004,茨城県,,101
2020-09-28T00:00:00,080004,茨城県,,344
2020-09-29T00:00:00,080004,茨城県,,291
2020-09-30T00:00:00,080004,茨城県,,265
2020-10-01T00:00:00,080004,茨城県,,253
2020-10-02T00:00:00,080004,茨城県,,330
2020-10-03T00:00:00,080004,茨城県,,98
2020-10-04T00:00:00,080004,茨城県,,132
2020-10-05T00:00:00,080004,茨城県,,331
2020-10-06T00:00:00,080004,茨城県,,243
2020-10-07T00:00:00,080004,茨城県,,253
2020-10-08T00:00:00,080004,茨城県,,219
2020-10-09T00:00:00,080004,茨城県,,261
2020-10-10T00:00:00,080004,茨城県,,116
2020-10-11T00:00:00,080004,茨城県,,136
2020-10-12T00:00:00,080004,茨城県,,347
2020-10-13T00:00:00,080004,茨城県,,255
2020-10-14T00:00:00,080004,茨城県,,220
2020-10-15T00:00:00,080004,茨城県,,207
2020-10-16T00:00:00,080004,茨城県,,240
2020-10-17T00:00:00,080004,茨城県,,82
2020-10-18T00:00:00,080004,茨城県,,89
2020-10-19T00:00:00,080004,茨城県,,305
2020-10-20T00:00:00,080004,茨城県,,214
2020-10-21T00:00:00,080004,茨城県,,196
2020-10-22T00:00:00,080004,茨城県,,289
2020-10-23T00:00:00,080004,茨城県,,265
2020-10-24T00:00:00,080004,茨城県,,89
2020-10-25T00:00:00,080004,茨城県,,46
2020-10-26T00:00:00,080004,茨城県,,320
2020-10-27T00:00:00,080004,茨城県,,206
2020-10-28T00:00:00,080004,茨城県,,219
2020-10-29T00:00:00,080004,茨城県,,262
2020-10-30T00:00:00,080004,茨城県,,310
2020-10-31T00:00:00,080004,茨城県,,76
2020-11-01T00:00:00,080004,茨城県,,83
2020-11-02T00:00:00,080004,茨城県,,408
2020-11-03T00:00:00,080004,茨城県,,86
2020-11-04T00:00:00,080004,茨城県,,322
2020-11-05T00:00:00,080004,茨城県,,263
2020-11-06T00:00:00,080004,茨城県,,275
2020-11-07T00:00:00,080004,茨城県,,116
2020-11-08T00:00:00,080004,茨城県,,102
